Prime,Buckets,,,Groupings,Label,groupings
3209,3201 up to 3300,,,45301,45301 up to 45400,
3217,3201 up to 3300,,,45401,45401 up to 45500,
3221,3201 up to 3300,,,45501,45501 up to 45600,
3229,3201 up to 3300,,,45601,45601 up to 45700,
3251,3201 up to 3300,,,45701,45701 up to 45800,
3253,3201 up to 3300,,,45801,45801 up to 45900,
3257,3201 up to 3300,,,45901,45901 up to 46000,
3259,3201 up to 3300,,,46001,46001 up to 46100,
3271,3201 up to 3300,,,46101,46101 up to 46200,
3299,3201 up to 3300,,,46201,46201 up to 46300,
3301,3301 up to 3400,,,46301,46301 up to 46400,
3307,3301 up to 3400,,,46401,46401 up to 46500,
3313,3301 up to 3400,,,46501,46501 up to 46600,
3319,3301 up to 3400,,,46601,46601 up to 46700,
3323,3301 up to 3400,,,46701,46701 up to 46800,
3329,3301 up to 3400,,,46801,46801 up to 46900,
3331,3301 up to 3400,,,46901,46901 up to 47000,
3343,3301 up to 3400,,,47001,47001 up to 47100,
3347,3301 up to 3400,,,47101,47101 up to 47200,
3359,3301 up to 3400,,,47201,47201 up to 47300,
3361,3301 up to 3400,,,47301,47301 up to 47400,
3371,3301 up to 3400,,,47401,47401 up to 47500,
3373,3301 up to 3400,,,47501,47501 up to 47600,
3389,3301 up to 3400,,,47601,47601 up to 47700,
3391,3301 up to 3400,,,47701,47701 up to 47800,
3407,3401 up to 3500,,,47801,47801 up to 47900,
3413,3401 up to 3500,,,47901,47901 up to 48000,
3433,3401 up to 3500,,,48001,48001 up to 48100,
3449,3401 up to 3500,,,48101,48101 up to 48200,
3457,3401 up to 3500,,,48201,48201 up to 48300,
3461,3401 up to 3500,,,48301,48301 up to 48400,
3463,3401 up to 3500,,,48401,48401 up to 48500,
3467,3401 up to 3500,,,48501,48501 up to 48600,
3469,3401 up to 3500,,,48601,48601 up to 48700,
3491,3401 up to 3500,,,48701,48701 up to 48800,
3499,3401 up to 3500,,,48801,48801 up to 48900,
3511,3501 up to 3600,,,48901,48901 up to 49000,
3517,3501 up to 3600,,,49001,49001 up to 49100,
3527,3501 up to 3600,,,49101,49101 up to 49200,
3529,3501 up to 3600,,,49201,49201 up to 49300,
3533,3501 up to 3600,,,49301,49301 up to 49400,
3539,3501 up to 3600,,,49401,49401 up to 49500,
3541,3501 up to 3600,,,49501,49501 up to 49600,
3547,3501 up to 3600,,,49601,49601 up to 49700,
3557,3501 up to 3600,,,49701,49701 up to 49800,
3559,3501 up to 3600,,,49801,49801 up to 49900,
3571,3501 up to 3600,,,49901,49901 up to 50000,
3581,3501 up to 3600,,,50001,50001 up to 50100,
3583,3501 up to 3600,,,50101,50101 up to 50200,
3593,3501 up to 3600,,,50201,50201 up to 50300,
3607,3601 up to 3700,,,50301,50301 up to 50400,
3613,3601 up to 3700,,,50401,50401 up to 50500,
3617,3601 up to 3700,,,50501,50501 up to 50600,
3623,3601 up to 3700,,,50601,50601 up to 50700,
3631,3601 up to 3700,,,50701,50701 up to 50800,
3637,3601 up to 3700,,,50801,50801 up to 50900,
3643,3601 up to 3700,,,50901,50901 up to 51000,
3659,3601 up to 3700,,,51001,51001 up to 51100,
3671,3601 up to 3700,,,51101,51101 up to 51200,
3673,3601 up to 3700,,,51201,51201 up to 51300,
3677,3601 up to 3700,,,51301,51301 up to 51400,
